,Subject,Counts,Rewarded,Treatment,CallType,k
446,GreWhi2703M,"(34, 42)",False,HVC,SO,0
447,GreWhi2703M,"(1, 9)",True,HVC,SO,0
448,HpiGre8613M,"(2, 10)",False,HVC,SO,0
449,HpiGre8613M,"(12, 20)",True,HVC,SO,0
450,BluGre4315M,"(2, 10)",False,HVC,SO,0
451,BluGre4315M,"(0, 8)",True,HVC,SO,0
452,BluRed8773M,"(4, 12)",False,HVC,SO,0
453,BluRed8773M,"(4, 12)",True,HVC,SO,0
454,BluWhi0398F,"(3, 11)",False,HVC,SO,1
455,BluWhi0398F,"(7, 15)",True,HVC,SO,1
456,BluWhi3230M,"(9, 17)",False,HVC,SO,1
457,BluWhi3230M,"(2, 10)",True,HVC,SO,1
458,GraYel7337F,"(6, 14)",False,HVC,SO,1
459,GraYel7337F,"(0, 8)",True,HVC,SO,1
