,Subject,Counts,Rewarded,Treatment,k
244,BluGre4315M,"(13, 27)",False,HVC,1
245,BluGre4315M,"(45, 59)",True,HVC,1
246,BluRed8773M,"(8, 22)",False,HVC,1
247,BluRed8773M,"(11, 25)",True,HVC,1
248,BluWhi0398F,"(31, 45)",False,HVC,2
249,BluWhi0398F,"(16, 30)",True,HVC,2
250,BluWhi3230M,"(26, 40)",False,HVC,2
251,BluWhi3230M,"(25, 39)",True,HVC,2
252,GraYel7337F,"(6, 20)",False,HVC,2
253,GraYel7337F,"(19, 33)",True,HVC,2
254,GreWhi2703M,"(45, 59)",False,HVC,2
255,GreWhi2703M,"(17, 31)",True,HVC,2
256,HpiGre8613M,"(7, 21)",False,HVC,2
257,HpiGre8613M,"(9, 23)",True,HVC,2
258,BluGre4315M,"(45, 59)",False,HVC,2
259,BluGre4315M,"(21, 35)",True,HVC,2
260,BluRed8773M,"(20, 34)",False,HVC,2
261,BluRed8773M,"(3, 17)",True,HVC,2
262,BluWhi0398F,"(38, 52)",False,HVC,3
263,BluWhi0398F,"(11, 25)",True,HVC,3
264,BluWhi3230M,"(24, 38)",False,HVC,3
265,BluWhi3230M,"(20, 34)",True,HVC,3
266,GraYel7337F,"(36, 50)",False,HVC,3
267,GraYel7337F,"(6, 20)",True,HVC,3
268,GreWhi2703M,"(44, 58)",False,HVC,3
269,GreWhi2703M,"(12, 26)",True,HVC,3
270,HpiGre8613M,"(14, 28)",False,HVC,3
271,HpiGre8613M,"(0, 14)",True,HVC,3
272,BluGre4315M,"(61, 75)",False,HVC,3
273,BluGre4315M,"(24, 38)",True,HVC,3
274,BluRed8773M,"(26, 40)",False,HVC,3
275,BluRed8773M,"(2, 16)",True,HVC,3
276,BluWhi0398F,"(22, 36)",False,HVC,4
277,BluWhi0398F,"(27, 41)",True,HVC,4
278,BluWhi3230M,"(45, 59)",False,HVC,4
279,BluWhi3230M,"(17, 31)",True,HVC,4
280,GraYel7337F,"(21, 35)",False,HVC,4
281,GraYel7337F,"(8, 22)",True,HVC,4
282,GreWhi2703M,"(19, 33)",False,HVC,4
283,GreWhi2703M,"(7, 21)",True,HVC,4
284,HpiGre8613M,"(11, 25)",False,HVC,4
285,HpiGre8613M,"(0, 14)",True,HVC,4
286,BluGre4315M,"(84, 98)",False,HVC,4
287,BluGre4315M,"(14, 28)",True,HVC,4
288,BluRed8773M,"(24, 38)",False,HVC,4
289,BluRed8773M,"(12, 26)",True,HVC,4
290,BluWhi0398F,"(24, 38)",False,HVC,5
291,BluWhi0398F,"(25, 39)",True,HVC,5
292,BluWhi3230M,"(17, 31)",False,HVC,5
293,BluWhi3230M,"(16, 30)",True,HVC,5
294,GraYel7337F,"(41, 55)",False,HVC,5
295,GraYel7337F,"(7, 21)",True,HVC,5
296,GreWhi2703M,"(39, 53)",False,HVC,5
297,GreWhi2703M,"(16, 30)",True,HVC,5
298,HpiGre8613M,"(8, 22)",False,HVC,5
299,HpiGre8613M,"(3, 17)",True,HVC,5
300,BluGre4315M,"(43, 57)",False,HVC,5
301,BluGre4315M,"(7, 21)",True,HVC,5
302,BluRed8773M,"(26, 40)",False,HVC,5
303,BluRed8773M,"(3, 17)",True,HVC,5
304,BluWhi0398F,"(30, 44)",False,HVC,6
305,BluWhi0398F,"(27, 41)",True,HVC,6
306,BluWhi3230M,"(29, 43)",False,HVC,6
307,BluWhi3230M,"(6, 20)",True,HVC,6
308,GraYel7337F,"(23, 37)",False,HVC,6
309,GraYel7337F,"(2, 16)",True,HVC,6
310,GreWhi2703M,"(37, 51)",False,HVC,6
311,GreWhi2703M,"(2, 16)",True,HVC,6
312,HpiGre8613M,"(16, 30)",False,HVC,6
313,HpiGre8613M,"(2, 16)",True,HVC,6
314,BluGre4315M,"(34, 48)",False,HVC,6
315,BluGre4315M,"(7, 21)",True,HVC,6
316,BluRed8773M,"(25, 39)",False,HVC,6
317,BluRed8773M,"(2, 16)",True,HVC,6
318,BluWhi0398F,"(29, 43)",False,HVC,7
319,BluWhi0398F,"(10, 24)",True,HVC,7
320,BluWhi3230M,"(25, 39)",False,HVC,7
321,BluWhi3230M,"(11, 25)",True,HVC,7
322,GraYel7337F,"(18, 32)",False,HVC,7
